"E1","E2","E3","E4","E5","E6","E7","E8","fault_type"
1.8697,3.6478,0.33794,0.035385,0.0077394,0.0085559,0.0042373,0.00047519,"Normal"
1.8725,2.8091,0.32781,0.041769,0.0096499,0.01074,0.0052319,0.0019472,"Normal"
2.0595,3.8041,0.36825,0.036564,0.0064589,0.0089866,0.0054809,0.00096675,"Normal"
2.5273,3.5595,0.35947,0.038535,0.0062545,0.0084914,0.0026873,0.00033156,"Normal"
1.8534,3.6642,0.35441,0.038339,0.0067025,0.0086143,0.0040208,0.0011114,"Normal"
1.5328,3.4425,0.35398,0.037116,0.0062482,0.0089229,0.0046625,0.00040382,"Normal"
1.7743,3.344,0.35812,0.031865,0.004933,0.0080642,0.0029185,0.00025096,"Normal"
1.4836,3.7062,0.35563,0.031682,0.005511,0.0084597,0.0044604,0.00055644,"Normal"
1.4713,3.4618,0.37692,0.034446,0.0053047,0.0085698,0.00281,0.00025895,"Normal"
1.5234,3.3712,0.34502,0.032346,0.0048087,0.0077777,0.003614,0.00028626,"Normal"
1.2887,3.1847,0.36555,0.033916,0.0041607,0.0087559,0.0043593,0.00024014,"Normal"
1.5812,3.9304,0.35889,0.032501,0.0058278,0.0080622,0.0064893,0.0004234,"Normal"
1.6543,2.8734,0.34829,0.034473,0.0057454,0.0087538,0.0031144,0.00058489,"Normal"
1.4868,3.6829,0.36822,0.031336,0.0059861,0.0085942,0.0054492,0.00088982,"Normal"
1.6321,3.2459,0.37228,0.034765,0.0058941,0.0090778,0.0049659,0.00064848,"Normal"
1.6615,3.3675,0.35897,0.034448,0.0056421,0.0090346,0.0031678,0.0006625,"Normal"
1.4936,3.5327,0.35435,0.033063,0.0051969,0.008226,0.0049215,0.00020044,"Normal"
2.2839,3.1779,0.35042,0.032739,0.0048712,0.0081075,0.0034219,0.00021698,"Normal"
1.7541,3.4904,0.35155,0.031115,0.0042846,0.0077802,0.0039146,0.00019919,"Normal"
1.5752,2.7845,0.34802,0.034636,0.0056051,0.009029,0.0047194,0.00027128,"Normal"
1.8749,4.1232,0.37764,0.03581,0.0062052,0.0082738,0.0042981,0.0003261,"Normal"
1.6822,2.8776,0.35058,0.033675,0.0044448,0.0088066,0.004121,0.00025951,"Normal"
1.9063,3.558,0.35678,0.032791,0.0042319,0.0085573,0.0053248,0.0005072,"Normal"
1.818,3.1014,0.37411,0.034164,0.0076231,0.0099178,0.0055407,0.0015226,"Normal"
1.7269,3.3681,0.36658,0.034682,0.0057631,0.0089301,0.0068331,0.00053483,"Normal"
1.7825,3.7443,0.37031,0.037047,0.0062958,0.0088858,0.0055741,0.00058197,"Normal"
1.8115,3.5245,0.34409,0.037082,0.0061835,0.0088707,0.0037945,0.00069218,"Normal"
1.8119,3.8455,0.35403,0.035339,0.0058532,0.0080403,0.004038,0.00048646,"Normal"
1.5613,3.035,0.35046,0.036328,0.0058481,0.0088873,0.0044,3e-04,"Normal"
1.3836,3.4788,0.3465,0.031101,0.0046928,0.0077014,0.0052608,0.00036308,"Normal"
1.689,2.8909,0.33284,0.040282,0.0086871,0.010011,0.0080969,0.0013112,"Normal"
1.4839,3.9244,0.38156,0.04535,0.0099625,0.01176,0.0058924,0.0025532,"Normal"
1.2403,3.48,0.364,0.036087,0.00568,0.0099617,0.0057922,0.00055106,"Normal"
1.701,3.2807,0.34926,0.037474,0.0055833,0.0084055,0.0043499,0.00019409,"Normal"
1.748,3.6691,0.37287,0.037316,0.0060847,0.0092672,0.0051683,0.00049445,"Normal"
1.6182,3.0549,0.34349,0.03532,0.0056314,0.0086018,0.0053686,0.0005703,"Normal"
1.5041,3.4014,0.37057,0.037897,0.0062877,0.009459,0.0048243,0.00040686,"Normal"
2.0764,3.2732,0.36251,0.035152,0.0057052,0.0086359,0.0032472,0.00046061,"Normal"
1.932,3.0782,0.33634,0.031934,0.0053662,0.0079522,0.0056247,0.00026499,"Normal"
1.4415,3.148,0.37253,0.035486,0.0048921,0.008754,0.0047127,0.00048271,"Normal"
1.7516,3.6139,0.35175,0.032028,0.0046679,0.0079277,0.0033694,0.00016848,"Normal"
1.9229,3.0815,0.36306,0.037947,0.0090111,0.010913,0.0066103,0.0021748,"Normal"
1.6215,3.5123,0.41088,0.037169,0.0082097,0.011275,0.0050267,0.0026559,"Normal"
1.876,3.1622,0.38461,0.033653,0.0067729,0.010842,0.0057702,0.0016172,"Normal"
1.5551,3.3505,0.39547,0.037281,0.0078758,0.011052,0.007234,0.0013319,"Normal"
1.8962,3.9038,0.37626,0.034573,0.0055196,0.0085121,0.0043516,0.00025885,"Normal"
1.8446,2.9433,0.34371,0.032301,0.0046093,0.0081118,0.0055647,0.00041606,"Normal"
2.0735,3.8643,0.35029,0.032168,0.0053128,0.0075723,0.0062255,0.0002079,"Normal"
1.6655,3.307,0.39467,0.03458,0.0047474,0.0090446,0.0030784,0.00033978,"Normal"
2.1163,3.6165,0.36931,0.035235,0.0070289,0.00891,0.0038728,0.0010631,"Normal"
1.4017,2.9208,0.35513,0.037227,0.0068772,0.009788,0.0063195,0.00074658,"Normal"
1.6553,3.4765,0.3527,0.03585,0.007367,0.0089388,0.0035895,0.00080556,"Normal"
1.8584,3.1765,0.3296,0.032793,0.0059636,0.0083097,0.0059256,0.0002944,"Normal"
1.3447,3.3741,0.37556,0.045339,0.010052,0.011536,0.0059289,0.0020814,"Normal"
1.2646,3.4637,0.34528,0.035868,0.0075973,0.0095306,0.0059399,0.001051,"Normal"
1.7581,3.0815,0.35462,0.041285,0.0083125,0.010626,0.0060275,0.0010447,"Normal"
1.4242,3.4865,0.34797,0.035927,0.0071021,0.0089356,0.0041904,0.00068423,"Normal"
1.8439,3.3214,0.36895,0.035971,0.0052536,0.0087635,0.0046351,0.00019841,"Normal"
1.6435,3.7064,0.33975,0.034752,0.0060629,0.0076696,0.0031558,0.00040756,"Normal"
1.4946,3.1185,0.33939,0.037789,0.0080326,0.0090332,0.0047224,0.0012772,"Normal"
1.5,3.7498,0.35558,0.037314,0.0066179,0.0096431,0.0048151,0.00087653,"Normal"
1.6785,3.1755,0.33268,0.035755,0.0068476,0.008329,0.004463,0.00047071,"Normal"
1.4204,3.102,0.33999,0.034256,0.0060115,0.0083265,0.0041175,0.00039368,"Normal"
1.2493,3.6727,0.3764,0.035386,0.0051581,0.0089347,0.0060803,0.00037634,"Normal"
1.6221,3.5311,0.38511,0.039658,0.0080268,0.010662,0.0044763,0.0014089,"Normal"
1.6941,3.7535,0.36102,0.036148,0.0059469,0.0092379,0.0053076,0.00099949,"Normal"
1.2654,3.1144,0.34159,0.033139,0.0047513,0.0080685,0.0031967,0.00015109,"Normal"
1.1941,3.8058,0.33019,0.032247,0.0058813,0.0075496,0.0027928,0.00033708,"Normal"
1.6788,3.4167,0.35117,0.035795,0.0064047,0.0094252,0.00445,0.00070737,"Normal"
1.8063,3.5252,0.36375,0.035554,0.0054091,0.0084631,0.0048465,0.00037745,"Normal"
1.5059,3.1055,0.35585,0.034142,0.0050537,0.008594,0.0035208,0.00019124,"Normal"
1.6207,3.2113,0.34614,0.032325,0.0050057,0.008247,0.0037349,0.00042425,"Normal"
1.7481,3.8173,0.38528,0.034659,0.0060748,0.0085484,0.00491,0.00055531,"Normal"
1.4584,3.0162,0.36681,0.032039,0.0047602,0.0087261,0.0039955,0.0006649,"Normal"
1.553,3.8602,0.35511,0.033942,0.0060948,0.0079718,0.0047677,0.00014707,"Normal"
1.2794,3.1513,0.382,0.03744,0.0060731,0.0094254,0.004664,0.00060302,"Normal"
1.4819,3.6469,0.37421,0.032155,0.0048209,0.0090926,0.0052228,0.00066129,"Normal"
1.6219,2.6501,0.34122,0.032977,0.0058555,0.0086805,0.0048374,0.00071073,"Normal"
1.544,3.311,0.36051,0.032676,0.0058382,0.0083596,0.0035552,0.00047614,"Normal"
1.5628,3.4289,0.37522,0.032475,0.0041636,0.0088626,0.0055911,0.0001958,"Normal"
1.5788,3.2048,0.34511,0.034746,0.0059465,0.007882,0.0047755,0.00022386,"Normal"
1.5875,3.2249,0.37041,0.036321,0.0055964,0.0088567,0.0033071,0.00018119,"Normal"
1.7983,3.2683,0.36125,0.034596,0.0053357,0.0089466,0.0034957,0.00019891,"Normal"
1.6121,3.3816,0.35187,0.034709,0.0060588,0.0081499,0.0039075,0.00027628,"Normal"
2.1271,3.358,0.34827,0.033091,0.0050479,0.0082421,0.0035795,0.00051998,"Normal"
2.1766,3.3471,0.36097,0.035609,0.0056748,0.0084095,0.0041283,0.00059711,"Normal"
1.4439,3.2684,0.3535,0.036703,0.0059466,0.0088977,0.0047486,0.00045546,"Normal"
1.7059,3.4266,0.34993,0.035594,0.0055504,0.0084439,0.0050566,0.00021946,"Normal"
1.9979,3.0122,0.33864,0.033797,0.005368,0.0083547,0.0038882,0.00031983,"Normal"
1.9365,3.5147,0.36123,0.037994,0.0067895,0.0094198,0.0046259,0.0010955,"Normal"
1.7753,3.2348,0.34142,0.036033,0.0070042,0.0089424,0.003982,0.00085036,"Normal"
1.6055,3.26,0.3354,0.035279,0.0065642,0.0084609,0.006139,0.00050785,"Normal"
2.3286,3.4497,0.34839,0.035516,0.0061917,0.0084307,0.0040001,0.00040447,"Normal"
2.1933,3.5222,0.36155,0.034044,0.0049904,0.0088592,0.0061246,0.00029214,"Normal"
1.3144,3.9093,0.34657,0.034988,0.0065266,0.008707,0.0044939,0.00064722,"Normal"
1.8759,3.1141,0.34531,0.039848,0.0092993,0.01,0.0068657,0.0019581,"Normal"
2.0247,3.2111,0.32471,0.031878,0.0051586,0.0079205,0.0050956,0.00062407,"Normal"
1.4875,2.9773,0.34397,0.036882,0.0066329,0.0091711,0.005387,0.00063909,"Normal"
1.4682,3.4545,0.35519,0.037565,0.0074202,0.010027,0.0040938,0.001356,"Normal"
1.592,3.1873,0.34219,0.038548,0.0083782,0.0092032,0.0053626,0.0010143,"Normal"
1.5597,3.3369,0.35763,0.033939,0.0047808,0.0080997,0.0035261,0.00017077,"Normal"
1.1455,3.3253,0.32683,0.030799,0.0048704,0.0077201,0.0044451,0.00017779,"Normal"
1.6097,2.9063,0.33008,0.034297,0.0066704,0.0084113,0.0066484,0.00032001,"Normal"
1.54,3.4899,0.3481,0.032322,0.005255,0.0079096,0.0033177,0.00032979,"Normal"
1.4901,2.8212,0.34793,0.032782,0.0042459,0.0083594,0.0045327,0.00020549,"Normal"
1.3052,3.702,0.35032,0.033654,0.0058571,0.0078613,0.0043294,0.00053416,"Normal"
1.7503,2.6144,0.35116,0.034335,0.0067805,0.0098616,0.0045607,0.0017289,"Normal"
2.0347,3.5359,0.38177,0.033753,0.0069402,0.010513,0.0084085,0.0020732,"Normal"
1.309,3.4099,0.36105,0.032487,0.0061123,0.0085639,0.0041929,0.00055642,"Normal"
1.5802,3.0943,0.34917,0.032725,0.00498,0.0082752,0.0034905,0.00055391,"Normal"
1.5976,3.2265,0.33548,0.032844,0.0052114,0.0080448,0.0038037,0.00025768,"Normal"
1.3893,3.2865,0.32749,0.033896,0.0062712,0.0080993,0.0036181,0.00028683,"Normal"
2.2412,3.3151,0.33672,0.03071,0.0052617,0.0075114,0.0044653,0.00021434,"Normal"
1.5349,2.9143,0.32869,0.035374,0.0061163,0.0083376,0.0052964,0.00054684,"Normal"
1.4874,3.509,0.34149,0.031431,0.0052478,0.007689,0.0029401,0.00019047,"Normal"
1.7722,3.5276,0.3789,0.032193,0.0048187,0.0087198,0.0053552,0.00023771,"Normal"
2.2701,3.2978,0.3317,0.03507,0.006404,0.0083059,0.0045994,0.00049751,"Normal"
1.846,3.5764,0.34813,0.034286,0.0055283,0.008015,0.0030196,0.00018944,"Normal"
1.0866,3.3214,0.37056,0.041218,0.0080508,0.0099827,0.0057396,0.0012416,"Normal"
1.7001,3.4295,0.31602,0.033908,0.0070811,0.0078867,0.0052887,0.0010168,"Normal"
1.9943,2.9985,0.33405,0.036706,0.0072542,0.008891,0.0038934,0.0013509,"Normal"
1.3259,3.7171,0.36661,0.039234,0.007353,0.0094972,0.0044951,0.00087952,"Normal"
2.0182,2.7488,0.33151,0.034577,0.0061848,0.0083153,0.0026537,0.00027729,"Normal"
1.8121,3.8977,0.37358,0.035268,0.0054104,0.0085015,0.0041724,0.00066184,"Normal"
1.993,3.2237,0.37009,0.0441,0.0091907,0.010834,0.0066944,0.0018936,"Normal"
1.4602,3.6058,0.36459,0.044258,0.010691,0.0117,0.0066645,0.0022827,"Normal"
1.7914,2.7983,0.34606,0.037716,0.0068523,0.010153,0.0055552,0.00096255,"Normal"
2.433,3.5275,0.35926,0.03576,0.0062447,0.0083179,0.0041682,0.00018073,"Normal"
1.7947,3.2747,0.34481,0.037044,0.0082168,0.010402,0.0039644,0.0012401,"Normal"
1.6615,3.4618,0.36005,0.037816,0.0069127,0.010283,0.0057346,0.0011884,"Normal"
2.2792,3.3417,0.34716,0.034854,0.0061607,0.0087703,0.0047129,0.00052152,"Normal"
1.9936,3.0786,0.35827,0.034721,0.0058331,0.0087349,0.0033557,0.00024593,"Normal"
1.852,3.5773,0.3597,0.035231,0.0056471,0.007954,0.0033051,0.00024633,"Normal"
1.9021,2.7755,0.38443,0.038133,0.0053367,0.0094491,0.0051887,0.00023479,"Normal"
2.0537,3.754,0.35633,0.029814,0.0042663,0.0077486,0.0033508,0.00030091,"Normal"
1.7321,3.2226,0.34733,0.032982,0.0067103,0.0086505,0.0048566,0.0009712,"Normal"
1.9032,3.2613,0.39025,0.037138,0.0082871,0.010421,0.0052922,0.0025997,"Normal"
2.34,3.4879,0.35992,0.030974,0.0044038,0.0082277,0.0040919,0.0006179,"Normal"
2.0872,3.2464,0.35758,0.036452,0.0056344,0.0083662,0.0053874,0.00017348,"Normal"
1.4526,3.6416,0.34887,0.033061,0.0059391,0.0078722,0.0032468,0.00040429,"Normal"
2.027,3.5758,0.36472,0.032585,0.0049277,0.0083424,0.0034245,0.0003489,"Normal"
2.1909,4.2216,0.35812,0.032648,0.0060894,0.0074656,0.0037387,0.00025858,"Normal"
2.1029,2.9798,0.36329,0.034247,0.0050128,0.0086576,0.0032316,0.00017972,"Normal"
2.2774,3.8417,0.36736,0.032508,0.005548,0.0084829,0.0035066,0.00046188,"Normal"
1.9475,3.395,0.3597,0.035285,0.0056285,0.0083426,0.0046013,0.00017831,"Normal"
1.9804,3.9542,0.35824,0.030485,0.0040334,0.0075766,0.0023525,0.00014034,"Normal"
1.7365,3.3132,0.35967,0.03337,0.0050384,0.0086476,0.0051047,0.00022521,"Normal"
2.4487,3.2371,0.36288,0.036274,0.0051376,0.0088144,0.0042852,0.00021012,"Normal"
1.5227,3.7698,0.3661,0.033212,0.0049287,0.0083961,0.0048161,0.00039671,"Normal"
2.0132,3.1309,0.35515,0.041528,0.0084509,0.010863,0.0066634,0.0017773,"Normal"
2.0773,3.6635,0.34582,0.038195,0.0079339,0.0090554,0.0039215,0.0008896,"Normal"
2.0875,3.0962,0.34495,0.033509,0.0047467,0.008291,0.004708,0.00027873,"Normal"
1.7772,3.4597,0.3556,0.039027,0.0080942,0.0093809,0.0038724,0.0010286,"Normal"
2.2494,2.9827,0.37847,0.041634,0.0071996,0.010258,0.0048154,0.0010214,"Normal"
2.1329,3.2486,0.34692,0.039991,0.0075607,0.0096621,0.0051874,0.0010591,"Normal"
1.995,3.2459,0.34959,0.038294,0.0063033,0.0095018,0.0033621,0.0011213,"Normal"
1.7084,3.2166,0.3697,0.036109,0.0058864,0.0089418,0.0030896,0.0008009,"Normal"
