"En1","En2","En3","En4","En5","En6","En7","En8","fault_type"
10.458,18.162,0.30105,2.4104,0.002119,0.043932,0.062594,0.091794,"Normal"
10.162,14.77,0.28216,2.4207,0.0022695,0.034931,0.059007,0.088469,"Normal"
11.504,18.896,0.31984,2.6778,0.0025343,0.054347,0.061133,0.094381,"Normal"
13.722,17.461,0.39507,2.6143,0.0026138,0.033303,0.057822,0.093157,"Normal"
10.84,17.908,0.29475,2.7216,0.0021493,0.037891,0.061085,0.083481,"Normal"
8.8392,17.045,0.33783,2.5393,0.0033852,0.049323,0.06315,0.09347,"Normal"
9.8713,16.952,0.32854,2.5811,0.0019397,0.035257,0.042267,0.088707,"Normal"
8.6399,18.168,0.30107,2.5172,0.0029481,0.045181,0.052604,0.084458,"Normal"
8.3523,17.493,0.30905,2.6038,0.0028968,0.032827,0.057707,0.090184,"Normal"
9.0078,16.846,0.34628,2.5384,0.0038925,0.042646,0.048031,0.092174,"Normal"
7.6778,15.725,0.34596,2.7017,0.0026506,0.052264,0.052977,0.092532,"Normal"
8.8208,19.423,0.28315,2.5899,0.0021887,0.06573,0.065938,0.083263,"Normal"
9.3801,15.047,0.35993,2.4965,0.0027502,0.03594,0.05321,0.081555,"Normal"
8.5457,18.416,0.30808,2.5399,0.0038016,0.049978,0.052644,0.089123,"Normal"
9.5014,16.026,0.30024,2.7264,0.0030682,0.051352,0.05478,0.096065,"Normal"
9.4518,16.775,0.31949,2.5545,0.0026262,0.033879,0.055232,0.084151,"Normal"
9.1702,17.371,0.36385,2.6007,0.0029271,0.05912,0.057749,0.090399,"Normal"
12.049,16.204,0.30855,2.5732,0.002574,0.039298,0.065254,0.09542,"Normal"
9.5232,17.468,0.31686,2.5385,0.0028713,0.044918,0.052156,0.087005,"Normal"
9.0905,14.222,0.35085,2.5761,0.0029304,0.052338,0.068145,0.09923,"Normal"
10.777,19.452,0.29962,2.8201,0.0027454,0.049249,0.069483,0.090485,"Normal"
10.084,14.431,0.34693,2.5707,0.0039802,0.045362,0.042783,0.10147,"Normal"
10.65,17.898,0.31538,2.5717,0.0036266,0.058229,0.051056,0.090225,"Normal"
10.412,15.758,0.28964,2.6186,0.0035365,0.043596,0.069498,0.090823,"Normal"
9.8348,17.328,0.3045,2.6611,0.001933,0.07338,0.051993,0.097634,"Normal"
10.03,18.381,0.34965,2.8109,0.0036318,0.056452,0.062928,0.089623,"Normal"
10.011,17.568,0.31272,2.4919,0.002468,0.039275,0.048584,0.092074,"Normal"
10.592,18.625,0.27726,2.6154,0.0019906,0.04526,0.058207,0.087227,"Normal"
8.7109,15.494,0.32305,2.6321,0.0030947,0.049435,0.056145,0.09145,"Normal"
8.4197,17.543,0.26425,2.5784,0.0040014,0.058542,0.056307,0.081812,"Normal"
9.6915,15.075,0.34416,2.447,0.0029073,0.078868,0.052063,0.094667,"Normal"
8.6492,19.5,0.37737,2.7561,0.0025782,0.036474,0.050051,0.091057,"Normal"
7.6139,17.148,0.32063,2.7707,0.0023309,0.058279,0.056418,0.095119,"Normal"
9.9429,16.439,0.32133,2.6341,0.0035356,0.050235,0.058009,0.093729,"Normal"
10.038,17.926,0.35298,2.8803,0.002329,0.052292,0.050757,0.094863,"Normal"
9.1706,15.784,0.32221,2.5591,0.0035762,0.05861,0.050115,0.092394,"Normal"
8.8777,17.135,0.34272,2.6857,0.0037676,0.053621,0.060279,0.097533,"Normal"
11.285,16.395,0.34773,2.7124,0.0029156,0.033388,0.057561,0.10128,"Normal"
10.712,15.649,0.32213,2.5583,0.0025793,0.062561,0.057684,0.089046,"Normal"
8.4513,16.193,0.37461,2.5323,0.002216,0.053851,0.048738,0.098754,"Normal"
9.7895,18.067,0.2899,2.4926,0.002606,0.03916,0.048904,0.084105,"Normal"
10.982,15.612,0.35836,2.5128,0.0042873,0.047829,0.068801,0.09114,"Normal"
9.2696,17.679,0.30482,2.6873,0.002433,0.039835,0.050225,0.092304,"Normal"
10.686,15.987,0.28601,2.7066,0.0021336,0.044293,0.051968,0.087734,"Normal"
8.9506,16.578,0.36057,2.6584,0.0024813,0.068279,0.053666,0.10186,"Normal"
10.214,19.055,0.3103,2.7659,0.0030762,0.050031,0.054212,0.093301,"Normal"
10.491,15.316,0.31095,2.51,0.003754,0.060016,0.04943,0.092691,"Normal"
