"V1","V2","V3","V4","V5","V6","V7","V8","fault"
16.415,14.855,0.1827,0.029149,0.0036017,0.0055032,0.0019807,0.00070113,"Ball_007_1"
21.237,15.495,0.17681,0.026414,0.0028042,0.0051159,0.0017177,0.00042069,"Ball_007_1"
26.286,20.195,0.18248,0.029666,0.0024236,0.0050423,0.00099264,7.9561e-05,"Ball_007_1"
30.537,20.655,0.16648,0.029571,0.0031953,0.005692,0.0019709,0.00072239,"Ball_007_1"
21.279,18.536,0.2085,0.041363,0.010714,0.010341,0.0057918,0.0046664,"Ball_007_1"
22.614,17.39,0.2445,0.041405,0.012424,0.012567,0.0074751,0.0060944,"Ball_007_1"
20.931,18.95,0.23606,0.039485,0.0099463,0.010888,0.0055758,0.0045468,"Ball_007_1"
27.318,19.491,0.1724,0.029425,0.003658,0.0055026,0.0017752,0.00085058,"Ball_007_1"
25.914,17.962,0.17703,0.027165,0.0029264,0.0055123,0.0019021,0.00064301,"Ball_007_1"
22.329,16.161,0.20133,0.036026,0.0079514,0.0090892,0.0041496,0.0029675,"Ball_007_1"
18.1,14.993,0.18382,0.030779,0.0043416,0.0064782,0.0023285,0.0010188,"Ball_007_1"
22.55,15.996,0.16354,0.024904,0.0018834,0.0046516,0.0012387,0.00016627,"Ball_007_1"
24.291,17.27,0.18565,0.028921,0.0024359,0.0056251,0.0015138,0.00031789,"Ball_007_1"
18.874,14.971,0.18416,0.028087,0.0023412,0.0052432,0.0010954,0.00015812,"Ball_007_1"
21.904,16.652,0.17892,0.027085,0.0022263,0.0049193,0.00099777,9.1419e-05,"Ball_007_1"
24.595,17.332,0.17244,0.026852,0.0017941,0.0049325,0.0010731,8.6525e-05,"Ball_007_1"
20.675,17.964,0.1811,0.027921,0.0023986,0.0051264,0.0016105,0.00037792,"Ball_007_1"
20.407,16.835,0.20871,0.036956,0.0089266,0.010409,0.005305,0.0036894,"Ball_007_1"
26.318,20.219,0.17994,0.028658,0.0027321,0.005048,0.0012421,0.0003886,"Ball_007_1"
27.536,19.739,0.19067,0.03311,0.0044799,0.0067546,0.0020844,0.0011067,"Ball_007_1"
21.188,17.315,0.16401,0.028214,0.0032616,0.0053838,0.0019895,0.00066746,"Ball_007_1"
23.708,18.843,0.17363,0.028688,0.0026446,0.0049791,0.001387,0.00014426,"Ball_007_1"
21.198,17.923,0.17406,0.028292,0.0025379,0.0049232,0.0012366,0.00027143,"Ball_007_1"
20.953,13.584,0.1716,0.025742,0.0024237,0.005359,0.0013787,0.00036956,"Ball_007_1"
21.59,16.957,0.16879,0.029102,0.0034412,0.0057045,0.0018439,0.00083335,"Ball_007_1"
21.039,17.42,0.17511,0.029674,0.0034205,0.0053207,0.0014774,0.00057794,"Ball_007_1"
18.414,14.322,0.17926,0.034856,0.0081512,0.008229,0.0040682,0.0030135,"Ball_007_1"
24.236,13.812,0.17165,0.030973,0.0061809,0.0077349,0.0031879,0.0020358,"Ball_007_1"
22.833,16.842,0.16813,0.027706,0.0028577,0.0052164,0.001583,0.000532,"Ball_007_1"
20.684,18.045,0.20074,0.036739,0.0077867,0.0088663,0.0042246,0.0027057,"Ball_007_1"
20.377,15.233,0.17609,0.027415,0.0034887,0.0061607,0.002087,0.00088295,"Ball_007_1"
21.714,15.017,0.16195,0.024369,0.0022758,0.0049566,0.0012671,0.00027885,"Ball_007_1"
21.924,18.057,0.18388,0.028171,0.002162,0.005041,0.0012396,0.00018134,"Ball_007_1"
