"V1","V2","V3","V4","V5","V6","V7","V8","fault"
5.161,3.4221,20.8,1.411,0.099343,0.29145,43.277,1.1859,"Ball_007_1"
4.5722,3.1218,23.063,1.3453,0.044775,0.32539,39.386,1.5219,"Ball_007_1"
4.7964,2.7319,25.743,1.4555,0.051766,0.34219,44.763,1.3586,"Ball_007_1"
4.315,3.5326,26.219,1.4548,0.056702,0.32563,43.144,1.5288,"Ball_007_1"
3.2611,4.1237,22.911,1.5492,0.063079,0.31631,39.318,1.5659,"Ball_007_1"
4.5465,3.1275,27.209,1.8774,0.071282,0.29194,40.515,1.4329,"Ball_007_1"
5.4074,2.9938,19.335,1.4441,0.077926,0.29755,35.967,1.4698,"Ball_007_1"
4.6058,3.1084,24.863,1.5603,0.072412,0.31326,44.689,1.4926,"Ball_007_1"
4.8084,2.7263,19.05,1.5423,0.077329,0.25066,44.094,1.7899,"Ball_007_1"
4.4573,3.5272,24.498,1.5584,0.067795,0.36937,43.298,1.3274,"Ball_007_1"
3.8966,3.0233,25.262,1.496,0.079619,0.26602,38.069,1.4363,"Ball_007_1"
4.5037,4.309,24.674,1.3818,0.074576,0.33421,40.163,1.316,"Ball_007_1"
4.9983,3.0285,24.681,1.2388,0.086192,0.27262,34.961,1.2898,"Ball_007_1"
4.1607,3.7201,26.993,1.5601,0.057229,0.39565,37.717,1.4231,"Ball_007_1"
5.1285,2.3407,22.961,1.4014,0.082366,0.40116,41.106,1.334,"Ball_007_1"
4.1219,3.4618,27.093,1.5482,0.043617,0.19647,46.205,1.569,"Ball_007_1"
4.6292,3.3759,21.06,1.4893,0.10521,0.28115,39.572,1.3648,"Ball_007_1"
5.2276,4.6079,25.648,1.4727,0.052252,0.27187,44.643,1.3729,"Ball_007_1"
3.9325,2.5289,25.422,1.6296,0.062961,0.30042,41.412,1.1996,"Ball_007_1"
5.4798,3.7964,24.83,1.4839,0.059436,0.26471,47.935,1.2982,"Ball_007_1"
4.2622,2.6327,27.51,1.5261,0.0527,0.24438,36.081,1.0476,"Ball_007_1"
4.7224,3.4602,28.413,1.6468,0.058559,0.28719,36.547,1.5243,"Ball_007_1"
4.7843,3.7231,25.873,1.5696,0.077268,0.27576,39.59,1.3103,"Ball_007_1"
5.6301,3.6278,27.758,1.4133,0.050995,0.2984,42.1,1.3686,"Ball_007_1"
4.251,2.7636,21.376,1.2548,0.067248,0.32022,39.757,1.1581,"Ball_007_1"
5.1737,3.3198,25.599,1.481,0.05854,0.30559,39.076,1.3399,"Ball_007_1"
4.4488,2.6576,28.089,1.1617,0.079899,0.37254,34.906,1.1622,"Ball_007_1"
3.7609,2.8874,25.346,1.2358,0.054776,0.25867,38.896,1.6498,"Ball_007_1"
5.5672,4.1029,24.538,1.3597,0.067572,0.32899,39.691,1.3501,"Ball_007_1"
4.051,3.7185,26.97,1.3951,0.049034,0.32424,35.427,1.3689,"Ball_007_1"
5.0018,3.2387,19.314,1.2718,0.066628,0.39218,40.996,1.5718,"Ball_007_1"
4.5939,3.638,24.63,1.6211,0.06883,0.40646,34.85,1.5726,"Ball_007_1"
4.6529,2.9018,24.793,1.334,0.066476,0.27907,40.283,1.3167,"Ball_007_1"
5.1534,2.9294,25.151,1.4215,0.041795,0.31326,38.85,1.3756,"Ball_007_1"
5.1247,3.5037,24.837,1.1912,0.040356,0.32184,38.109,1.4703,"Ball_007_1"
4.501,3.7843,29.335,1.2099,0.058143,0.3711,48.012,1.5716,"Ball_007_1"
4.8502,2.8266,23.142,1.4661,0.037521,0.31499,41.875,1.4336,"Ball_007_1"
4.4468,3.2911,27.651,1.5924,0.07162,0.27569,39.503,1.2805,"Ball_007_1"
4.6552,3.3142,26.25,1.53,0.060956,0.42967,40.661,1.5384,"Ball_007_1"
5.4799,3.1281,26.975,1.1826,0.051971,0.32798,36.143,1.4083,"Ball_007_1"
5.0404,3.4141,23.851,1.5524,0.070716,0.34239,38.936,1.429,"Ball_007_1"
3.9397,3.8149,22.488,1.1549,0.049025,0.29877,43.568,1.2057,"Ball_007_1"
5.0431,3.2754,23.035,1.8283,0.079003,0.33194,40.241,1.4768,"Ball_007_1"
4.1474,3.0316,23.858,1.5768,0.06941,0.28421,44.07,1.4488,"Ball_007_1"
5.3384,3.7402,24.846,1.5769,0.10103,0.36865,40.07,1.3236,"Ball_007_1"
5.2849,2.1786,23.078,1.4297,0.068308,0.32188,40.676,1.5128,"Ball_007_1"
4.6823,3.6331,22.819,1.2889,0.065624,0.31357,41.757,1.3726,"Ball_007_1"
4.6255,3.5566,24.216,1.5042,0.058005,0.27181,48.704,1.215,"Ball_007_1"
4.012,3.7406,23.741,1.483,0.041408,0.23383,44.812,1.4314,"Ball_007_1"
4.7492,3.0097,25.51,1.5348,0.04967,0.27883,44.363,1.5448,"Ball_007_1"
4.6988,3.9713,22.062,1.3254,0.055952,0.33865,38.548,1.2118,"Ball_007_1"
5.4783,2.4069,29.475,1.2889,0.05525,0.26409,45.435,1.6241,"Ball_007_1"
4.8593,3.4643,25.714,1.2515,0.064603,0.32511,42.315,1.2803,"Ball_007_1"
5.3532,3.7765,26.47,1.0073,0.051428,0.28153,38.915,1.4127,"Ball_007_1"
3.8192,3.7695,21.766,1.4575,0.078195,0.25073,46.557,1.4134,"Ball_007_1"
5.065,2.9477,24.951,1.2836,0.065469,0.34837,39.694,1.4935,"Ball_007_1"
5.6088,3.3538,23.399,1.2242,0.075805,0.43123,38.022,1.3473,"Ball_007_1"
4.8903,2.5994,23.826,1.2747,0.060931,0.37202,37.399,1.6123,"Ball_007_1"
5.17,3.6465,30.076,1.228,0.032822,0.2974,41.242,1.5221,"Ball_007_1"
4.4892,3.5646,21.341,1.2029,0.069082,0.30333,37.543,1.6833,"Ball_007_1"
4.3187,3.7808,24.871,1.4534,0.079266,0.30244,42.234,1.6645,"Ball_007_1"
5.0619,3.2654,21.103,1.4581,0.079526,0.36253,41.704,1.4804,"Ball_007_1"
5.1538,3.9499,22.719,1.1793,0.074387,0.32802,41.776,1.6499,"Ball_007_1"
4.8609,2.8025,26.495,1.3362,0.075067,0.31225,42.947,1.319,"Ball_007_1"
3.9052,2.8755,26.706,1.2128,0.06003,0.32034,43.028,1.3974,"Ball_007_1"
