"V1","V2","V3","V4","V5","V6","V7","V8","fault"
62.583,59.33,0.26518,1.6009,0.0014673,0.018364,0.032765,0.060336,"Ball_007_1"
85.084,53.239,0.28289,1.6765,0.0017164,0.017286,0.029688,0.06288,"Ball_007_1"
80.503,84.168,0.30216,1.6733,0.0013493,0.01306,0.028566,0.059382,"Ball_007_1"
101.4,71.313,0.26996,1.3808,0.0017909,0.015103,0.027356,0.058245,"Ball_007_1"
75.326,71.221,0.28575,1.665,0.0012434,0.014989,0.025672,0.060098,"Ball_007_1"
73.079,75.345,0.29058,1.6312,0.0011226,0.015766,0.025455,0.060939,"Ball_007_1"
78.557,65.909,0.31294,1.6543,0.0013504,0.013835,0.033252,0.064605,"Ball_007_1"
98.706,67.136,0.29753,1.4711,0.0010767,0.013382,0.026059,0.054039,"Ball_007_1"
86.29,75.069,0.26507,1.3614,0.0011717,0.016527,0.025535,0.055497,"Ball_007_1"
92.747,53.161,0.25046,1.5497,0.0012074,0.014631,0.028356,0.061824,"Ball_007_1"
80.551,49.547,0.27721,1.6239,0.00097157,0.017911,0.027389,0.064057,"Ball_007_1"
74.988,69.488,0.24063,1.4948,0.0013825,0.013861,0.024958,0.057927,"Ball_007_1"
93.597,56.078,0.29305,1.7098,0.0014132,0.016097,0.026236,0.064438,"Ball_007_1"
72.209,56.315,0.297,1.6386,0.0011572,0.013853,0.028008,0.061578,"Ball_007_1"
83.883,61.529,0.26991,1.4515,0.001299,0.013431,0.027479,0.061899,"Ball_007_1"
74.967,68.631,0.23565,1.5945,0.0012345,0.014387,0.02444,0.063197,"Ball_007_1"
73.899,66.808,0.30517,1.6057,0.0014797,0.017457,0.024269,0.056488,"Ball_007_1"
79.3,61.224,0.2854,1.5926,0.0012437,0.014507,0.023847,0.06376,"Ball_007_1"
94.265,70.545,0.29994,1.5664,0.0015828,0.012731,0.032337,0.059413,"Ball_007_1"
94.35,72.26,0.28207,1.5392,0.0015455,0.016348,0.02533,0.062949,"Ball_007_1"
78.506,69.736,0.24068,1.3666,0.0013724,0.017459,0.023963,0.05911,"Ball_007_1"
82.824,73.287,0.29804,1.5596,0.0015633,0.01766,0.031065,0.062804,"Ball_007_1"
77.485,65.378,0.27929,1.5283,0.0014989,0.016657,0.02571,0.058289,"Ball_007_1"
70.86,61.529,0.26299,1.5469,0.0019531,0.014851,0.026618,0.060416,"Ball_007_1"
86.582,59.105,0.26933,1.4942,0.0011726,0.014049,0.025762,0.06155,"Ball_007_1"
84.783,59.789,0.27429,1.3888,0.0013521,0.013384,0.025847,0.06059,"Ball_007_1"
69.561,59.212,0.2793,1.4704,0.0019146,0.013315,0.028233,0.058548,"Ball_007_1"
86.627,54.161,0.24138,1.5175,0.0012483,0.014133,0.022454,0.057826,"Ball_007_1"
82.614,65.666,0.26137,1.4283,0.0013488,0.013918,0.029048,0.057744,"Ball_007_1"
78.265,68.216,0.31574,1.7505,0.0014707,0.016397,0.031864,0.060531,"Ball_007_1"
85.792,49.271,0.28703,1.513,0.0011978,0.016713,0.027932,0.060448,"Ball_007_1"
79.399,57.054,0.22806,1.3854,0.0013315,0.015998,0.029329,0.059415,"Ball_007_1"
86.949,64.524,0.30577,1.6346,0.001314,0.016307,0.022652,0.057799,"Ball_007_1"
81.649,60.437,0.31879,1.7136,0.0013546,0.014283,0.027171,0.064383,"Ball_007_1"
87.347,63.683,0.27347,1.3525,0.0013973,0.013764,0.024502,0.05406,"Ball_007_1"
77.888,48.336,0.26929,1.4236,0.0016028,0.015132,0.024345,0.06248,"Ball_007_1"
70.229,57.319,0.27336,1.4139,0.0016102,0.013855,0.029781,0.058636,"Ball_007_1"
76.672,72.569,0.26093,1.437,0.0015338,0.012814,0.029256,0.058967,"Ball_007_1"
82.521,69.917,0.30095,1.6165,0.001522,0.014414,0.027146,0.058686,"Ball_007_1"
87.242,67.257,0.2476,1.5129,0.0013338,0.016808,0.026216,0.059094,"Ball_007_1"
